Group
Persistent Identification of Instruments WG
International Materials Resource Registries WG
RDA/WDS Scholarly Link Exchange (Scholix) WG
Federated Identity Management IG
RDA/WDS Publishing Data Workflows WG
CoreTrustSeal Maintenance WG
Archives and Records Professionals for Research Data IG
Big Data IG
Brokering IG
Certification and Accreditation for Data Science Training and Education WG
Community Capability Model IG
Data Foundations and Terminology IG
Data in Context IG
Data Rescue IG
Data Security and Trust WG
Defining Urban Data Exchange for Science IG
Development of cloud computing capacity and education in developing world research IG
Digital Practices in History and Ethnography IG
Disciplinary Collaboration Framework IG
Engagement IG
Ethics and Social Aspects of Data IG
Fisheries Data Interoperability WG
From Observational Data to Information IG
GO FAIR Liaison IG
Marine Data Harmonization IG
Metabolomics Data Interoperability IG
National Data Services IG
On-Farm Data Sharing (OFDS) WG
Preservation e-Infrastructure IG
Provenance Patterns WG
Public Health Graph WG
Quality of Urban Life IG
RDA/WDS Publishing Data Bibliometrics WG
RDA/WDS Publishing Data IG
Research Funders and Stakeholders on Open Research and Data Management Policies and Practices IG
Rice Data Interoperability WG
Service Management IG
Small Unmanned Aircraft Systems’ Data IG
Standardisation of Data Categories and Codes WG
Storage Service Definitions WG
Teaching TDM on Education and Skill Development WG
Toxicogenomics Interoperability IG
UPC Code for Data IG
"Weather, climate and air quality IG"
Working with PIDs in Tools IG
